Time,Computation Time,Objective Values,Pressure Values,Travel Time w Buffer,Travel Time wo Buffer,Throughput,Vehicle Speed,Waiting Vehicles Per Intersection,Waiting Vehicles Per Lane,Waiting Vehicles Per Lane Max,Waiting Time Per Vehicle,Waiting Time Per Vehicle Max,Number of Stops,Number of Vehicles Entered the Network,Phase Change Frequency
600,0.00044417381286621094,20.222222222222225,20.222222222222225,,,0.7000000000000001,4.622080784906223,33.833333333333336,2.182795698924731,17.88888888888889,123.74660956459671,,,,
620,0.0007390975952148438,19.944444444444443,19.944444444444443,,,0.7000000000000001,4.981501151855829,32.0,2.064516129032258,18.22222222222222,123.74660956459671,,,,
640,0.0004248619079589844,20.166666666666668,20.166666666666668,,,0.7000000000000001,4.647349275052346,33.833333333333336,2.182795698924731,17.88888888888889,123.74660956459671,,,,
660,0.0004711151123046875,20.055555555555554,20.055555555555554,,,0.7000000000000001,5.031697306870205,32.0,2.064516129032258,18.22222222222222,123.74660956459671,,,,
680,0.00043272972106933594,20.166666666666668,20.166666666666668,,,0.7000000000000001,4.617539587867352,34.166666666666664,2.204301075268817,18.11111111111111,123.74660956459671,,,,
700,0.00045680999755859375,20.0,20.0,,,0.7000000000000001,4.988733177422399,32.333333333333336,2.086021505376344,18.444444444444443,123.74660956459671,,,,
720,0.0006017684936523438,20.11111111111111,20.11111111111111,,,0.7000000000000001,4.669336798339078,34.0,2.193548387096774,17.88888888888889,123.74660956459671,,,,
740,0.0004398822784423828,20.055555555555554,20.055555555555554,,,0.7000000000000001,5.024193015444654,31.833333333333332,2.053763440860215,18.11111111111111,123.74660956459671,,,,
760,0.0005428791046142578,20.166666666666668,20.166666666666668,,,0.7000000000000001,4.642889114903118,34.0,2.193548387096774,18.0,123.74660956459671,,,,
780,0.0004589557647705078,19.944444444444443,19.944444444444443,,,0.7000000000000001,5.005907111735767,32.0,2.064516129032258,18.22222222222222,123.74660956459671,,,,
800,0.0004360675811767578,20.166666666666668,20.166666666666668,,,0.7000000000000001,4.654061685224775,33.833333333333336,2.182795698924731,17.88888888888889,123.74660956459671,,,,
820,0.0005428791046142578,20.055555555555554,20.055555555555554,,,0.7000000000000001,5.039044719291565,32.0,2.064516129032258,18.22222222222222,123.74660956459671,,,,
840,0.0004470348358154297,20.222222222222225,20.222222222222225,,,0.7000000000000001,4.6344006894003655,33.833333333333336,2.182795698924731,17.88888888888889,123.74660956459671,,,,
860,0.0005788803100585938,20.0,20.0,,,0.7000000000000001,5.030488450900407,32.0,2.064516129032258,18.22222222222222,123.74660956459671,,,,
880,0.0004401206970214844,20.166666666666668,20.166666666666668,,,0.7000000000000001,4.654436764509065,34.0,2.193548387096774,17.88888888888889,123.74660956459671,,,,
900,0.00043582916259765625,20.055555555555554,20.055555555555554,,,0.7000000000000001,5.016680759205632,32.0,2.064516129032258,18.22222222222222,123.74660956459671,,,,
920,0.0004420280456542969,20.222222222222225,20.222222222222225,,,0.7000000000000001,4.612611675646962,33.833333333333336,2.182795698924731,17.88888888888889,123.74660956459671,,,,
940,0.0004680156707763672,19.944444444444443,19.944444444444443,,,0.7000000000000001,4.969224176658678,32.0,2.064516129032258,18.22222222222222,123.74660956459671,,,,
960,0.0004401206970214844,20.11111111111111,20.11111111111111,,,0.7000000000000001,4.654247709635563,33.833333333333336,2.182795698924731,17.88888888888889,123.74660956459671,,,,
980,0.0004367828369140625,20.055555555555554,20.055555555555554,,,0.7000000000000001,5.029810854244406,32.0,2.064516129032258,18.22222222222222,123.74660956459671,,,,
